Name,Active
Agriculture,True
Arts & Culture,True
Business & Economy,True
Climate & Environment,True
Education,True
Energy,True
Finance & Budget,True
Health & Healthcare,True
Housing & Community Development,True
Humanitarian & Disaster Relief,True
Infrastructure,True
Justice & Public Safety,True
Labor & Employment,True
Military & Veterans Affairs,True
National Security & Defense,True
Science & Research,True
Social Services,True
Transportation,True
State & Policy,True
Communications,True
Uncategorized,True
